 Values from hb2.mt2.3dmap

    Values by voxel
    ----------------------------------------------------------------------
              5.0000000E+06  2.5407129E+08  2.9458001E+07
              4.0000000E+06  4.4153555E+08  4.8058663E+07
              3.0000000E+06  3.3469617E+08  4.0130653E+07
              2.5000000E+06  8.8880797E+08  6.0763471E+07
              2.0000000E+06  5.0040806E+08  5.0282611E+07
              1.6600000E+06  3.1135229E+08  3.9443198E+07
              1.3300000E+06  4.0383604E+08  6.5665063E+07
              1.0000000E+06  2.0668946E+08  3.3035671E+07
              8.0000000E+05  3.4886358E+08  3.9911897E+07
              6.0000000E+05  7.8473682E+08  9.6475866E+07
              4.0000000E+05  6.3119411E+08  1.4007057E+08
              3.0000000E+05  9.6281442E+08  1.1996138E+08
              2.0000000E+05  1.8712402E+09  2.3273019E+08
              1.0000000E+05  8.4368609E+08  2.0760746E+08
              4.5000000E+04  0.0000000E+00  0.0000000E+00
              1.0000000E+04
         Family Responses
             All of the responses for this mesh tally
                             1.9054885E+04  9.8488320E+02

          6      1      1      2.4635000E+02  1.3089969E-01 -9.1440000E+00
         Family Photon Flux
             Photon Flux track-length estimate
              2.0000000E+07  1.6111901E+05  1.5703938E+05
              1.0000000E+07  1.9188489E+07  8.1961527E+06
              8.0000000E+06  2.6111170E+08  4.0022943E+07
              6.5000000E+06  2.4384849E+08  3.6488898E+07
              5.0000000E+06  2.2040867E+08  2.3212364E+07
              4.0000000E+06  3.9043549E+08  5.0890691E+07
              3.0000000E+06  3.0351782E+08  2.6448415E+07
              2.5000000E+06  7.3957903E+08  5.5223704E+07
              2.0000000E+06  4.7193021E+08  4.1647415E+07
              1.6600000E+06  2.8731323E+08  3.1564357E+07
              1.3300000E+06  4.4054519E+08  5.7962063E+07
              1.0000000E+06  1.8013298E+08  3.2743401E+07
              8.0000000E+05  2.8039051E+08  4.6294616E+07
              6.0000000E+05  7.0443245E+08  6.0042221E+07
              4.0000000E+05  6.4524478E+08  1.2866834E+08
              3.0000000E+05  9.9627672E+08  1.2778540E+08
              2.0000000E+05  2.0092037E+09  2.5761204E+08
              1.0000000E+05  1.1364183E+09  3.6965399E+08
              4.5000000E+04  0.0000000E+00  0.0000000E+00
              1.0000000E+04
         Family Responses
             All of the responses for this mesh tally
                             1.7397038E+04  1.1200712E+03

